"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer","ARCHS4","GTEx","TabulaSapiens","n","Transcript","CellAge","SenMayo","AgedTissue","DiseaseTissue"
"COL4A5","ASLN, ATS","ENSG00000188153","Collagen type IV alpha 5 chain","P29400","X","108439838-108697545","Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins","","","Alport syndrome, Cancer-related genes, Deafness, Disease variant","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"brain: 102.9","Cell type enriched","Detected in many",9,"Oligodendrocytes: 673.9","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"testis cancer: 65.6","Adipose subcutaneous - Smooth muscle cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA077177","","","Approved","Vesicles,Plasma membrane","Secreted to extracellular matrix",NA,NA,NA,NA,"","Cluster 57: Non-specific - Angiogenesis","Cluster 60: Keratinocytes - Epithelial cell function","Cluster 8: Oligodendrocytes - Myelin sheath organization","Plasma membrane","Vesicles","HPA077177: ","unprognostic (2.58e-2)","unprognostic (2.57e-2)","unprognostic (3.64e-2)","unprognostic (3.98e-2)","unprognostic (1.11e-1)","unprognostic (1.61e-1)","unprognostic (1.97e-2)","unprognostic (7.27e-2)","unprognostic (2.70e-1)","unprognostic (2.20e-1)","unprognostic (1.60e-1)","unprognostic (1.26e-1)","prognostic unfavorable (2.41e-5)","unprognostic (2.10e-3)","unprognostic (1.70e-1)","unprognostic (2.61e-2)","unprognostic (1.06e-1)",2,0,9,11,NA,0,0,NA,NA
"COL5A1","","ENSG00000130635","Collagen type V alpha 1 chain","P20908","9","134641803-134844843","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","Heparin-binding","Cancer-related genes, Disease variant, Ehlers-Danlos syndrome","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"cervix: 146.6","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 129.4;Fibroblasts: 126.5;Leydig cells: 61.6;Pancreatic endocrine cells: 61.8;Schwann cells: 50.9;Smooth muscle cells: 54.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Brain cancer: 233.0","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","HPA030769","Approved","","Approved","Vesicles","Secreted to extracellular matrix","No","No",NA,1.5e+07,"","Cluster 46: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Vesicles","","HPA030769: AB_2673603","unprognostic (7.77e-2)","unprognostic (4.55e-3)","unprognostic (2.22e-2)","unprognostic (2.33e-1)","prognostic unfavorable (9.56e-4)","unprognostic (8.07e-2)","unprognostic (8.09e-2)","unprognostic (2.38e-3)","unprognostic (1.54e-2)","unprognostic (5.03e-3)","unprognostic (5.05e-2)","unprognostic (1.40e-1)","prognostic unfavorable (2.07e-12)","unprognostic (2.02e-2)","unprognostic (4.73e-2)","unprognostic (1.65e-2)","unprognostic (2.50e-3)",5,0,11,16,NA,0,0,NA,"Idiopathic.Pulmonary.Fibrosis"
"COL6A3","","ENSG00000163359","Collagen type VI alpha 3 chain","P12111","2","237324003-237414207","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion","Protease inhibitor, Serine protease inhibitor","Congenital muscular dystrophy, Disease variant, Dystonia, Limb-girdle muscular dystrophy","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"smooth muscle: 391.3","Cell type enhanced","Detected in many",NA,"Cardiomyocytes: 213.4;Endometrial stromal cells: 331.7;Fibroblasts: 695.7;Leydig cells: 305.8;Smooth muscle cells: 181.0","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Brain cancer: 354.0","Kidney - Fibroblasts, Liver - Hepatic stellate cells, Skin - Fibroblast_2","Region enhanced","Detected in some",NA,"basal ganglia: 4.5","Region enriched","Detected in many",4,"spinal cord: 12.0","HPA010007, HPA010080","Supported","","Approved","Endoplasmic reticulum,Vesicles","Secreted to extracellular matrix",NA,NA,NA,1e+09,"","Cluster 46: Fibroblasts - ECM organization","Cluster 59: Fibroblasts - Metabolism","Cluster 65: Fibroblasts - ECM organization","Endoplasmic reticulum","Vesicles","HPA010007: , HPA010080: AB_1078550","unprognostic (8.94e-2)","unprognostic (7.24e-2)","unprognostic (6.60e-2)","unprognostic (3.82e-1)","unprognostic (3.90e-2)","unprognostic (2.37e-1)","unprognostic (5.34e-2)","unprognostic (2.87e-2)","unprognostic (8.20e-3)","unprognostic (2.55e-2)","unprognostic (1.33e-2)","unprognostic (1.23e-1)","prognostic unfavorable (5.57e-11)","unprognostic (1.54e-2)","unprognostic (2.50e-2)","unprognostic (3.51e-2)","unprognostic (1.84e-3)",9,0,12,21,"ENST00000353578",0,0,"Muscle","Idiopathic.Pulmonary.Fibrosis"
"COL7A1","EBD1, EBDCT, EBR1","ENSG00000114270","Collagen type VII alpha 1 chain","Q02388","3","48564073-48595329","Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion","Protease inhibitor, Serine protease inhibitor","Disease variant, Epidermolysis bullosa","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"skin 1: 98.2","Cell type enhanced","Detected in many",NA,"Basal keratinocytes: 64.9;Basal respiratory cells: 59.2;Basal squamous epithelial cells: 44.3;Endometrial stromal cells: 39.1","Cancer enhanced","Detected in all",NA,"head and neck cancer: 41.7","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Heart muscle - Cardiomyocytes, Kidney - Endothelial cells","","",NA,"","","",NA,"","CAB016357, HPA018877, HPA042420","Enhanced","","Approved","Endoplasmic reticulum,Vesicles","Secreted to extracellular matrix",NA,NA,NA,6000,"Cluster 41: Basophils - Cellular respiration","Cluster 31: Skin - Epidermis development","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 22: Squamous epithelial cells - Keratinization","Endoplasmic reticulum","Vesicles","CAB016357: AB_2229746, HPA018877: , HPA042420: AB_2677990","unprognostic (2.69e-2)","unprognostic (4.11e-1)","unprognostic (1.35e-1)","unprognostic (3.47e-1)","unprognostic (4.93e-2)","prognostic favorable (6.31e-4)","unprognostic (7.56e-2)","unprognostic (1.25e-2)","unprognostic (5.59e-2)","unprognostic (2.98e-1)","prognostic unfavorable (3.86e-4)","unprognostic (3.74e-2)","unprognostic (0.00e+0)","unprognostic (1.76e-1)","unprognostic (1.38e-1)","unprognostic (1.04e-1)","unprognostic (3.86e-2)",5,0,9,14,NA,0,0,"Lung; Muscle; Nerve",NA
"COLEC10","CL-L1","ENSG00000184374","Collectin subfamily member 10","Q9Y6Z7","8","118995452-119108455","Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","","","Disease variant","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in some",6,"liver: 65.7","Cell type enhanced","Detected in some",NA,"Cardiomyocytes: 3.8;Excitatory neurons: 6.8;Inhibitory neurons: 5.3;Kupffer cells: 3.0;Oligodendrocyte precursor cells: 2.4;Oligodendrocytes: 4.5","Cancer enhanced","Detected in some",NA,"liver cancer: 1.1","Not detected","Not detected",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in some",NA,"Kidney cancer: 9.9;Neuroblastoma: 10.2","Liver - Hepatic stellate cells","Not detected","Not detected",NA,"","Low region specificity","Detected in many",NA,"","","","","","","Secreted to blood",NA,NA,NA,3e+07,"","Cluster 85: Liver - Metabolism","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","","","","unprognostic (1.28e-1)","unprognostic (1.29e-2)","unprognostic (3.79e-4)","unprognostic (6.25e-3)","unprognostic (1.80e-3)","unprognostic (7.73e-2)","prognostic favorable (5.79e-4)","unprognostic (1.05e-1)","","unprognostic (1.61e-1)","unprognostic (1.13e-1)","unprognostic (9.25e-2)","unprognostic (9.02e-5)","unprognostic (2.47e-1)","unprognostic (1.82e-1)","unprognostic (5.85e-5)","unprognostic (7.12e-2)",9,9,8,26,"ENST00000332843",0,0,NA,NA
"CPA4","CPA3","ENSG00000128510","Carboxypeptidase A4","Q9UI42","7","130293134-130324180","Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","Carboxypeptidase, Hydrolase, Metalloprotease, Protease","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"esophagus: 21.6;skin 1: 57.1","Cell type enhanced","Detected in some",NA,"Basal keratinocytes: 12.0;Basal respiratory cells: 23.8;Exocrine glandular cells: 46.9;Squamous epithelial cells: 11.6;Suprabasal keratinocytes: 20.1","Cancer enhanced","Detected in many",NA,"cervical cancer: 10.0;head and neck cancer: 9.8","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Bone cancer: 165.5","Adipose visceral - Mesothelial cells","Not detected","Not detected",NA,"","Not detected","Not detected",NA,"","HPA021030","","","Approved","Nucleoplasm,Centrosome,Cytosol","Secreted in other tissues",NA,"Yes",NA,390000,"","Cluster 31: Skin - Epidermis development","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 74: Pancreatic cells - Mixed function","Nucleoplasm","Centrosome, Cytosol","HPA021030: AB_1846010","unprognostic (7.60e-3)","unprognostic (4.00e-2)","unprognostic (1.59e-3)","unprognostic (3.63e-3)","unprognostic (2.24e-2)","unprognostic (2.91e-2)","unprognostic (2.78e-2)","unprognostic (4.36e-3)","unprognostic (3.23e-1)","unprognostic (5.79e-2)","unprognostic (2.37e-3)","unprognostic (6.49e-2)","unprognostic (6.21e-10)","unprognostic (2.39e-1)","unprognostic (1.67e-1)","unprognostic (7.56e-2)","prognostic unfavorable (1.31e-4)",10,13,13,36,"ENST00000222482; ENST00000493259",1,0,NA,NA
"CTHRC1","","ENSG00000164932","Collagen triple helix repeat containing 1","Q96CG8","8","103371538-103382989","Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"adipose tissue: 69.1;gallbladder: 87.8;placenta: 90.1;urinary bladder: 84.6","Cell type enhanced","Detected in many",NA,"Endothelial cells: 83.3;Fibroblasts: 154.2;Pancreatic endocrine cells: 68.7;Smooth muscle cells: 53.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in single",NA,"NK-cell: 2.3","Low lineage specificity","Detected in single",NA,"","Cancer enhanced","Detected in all",NA,"skin cancer: 179.1","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA059806, HPA061896","Approved","","Approved","Nucleoplasm","Secreted in other tissues",NA,NA,NA,420000,"Cluster 40: NK-cells - Unknown function","Cluster 28: Placenta - Pregnancy","Cluster 33: Skin cancer - Membrane components","Cluster 53: Connective tissue cells - ECM organization","Nucleoplasm","","HPA059806: AB_2684130, HPA061896: AB_2684633","unprognostic (2.04e-2)","unprognostic (4.58e-1)","unprognostic (2.76e-2)","unprognostic (1.88e-2)","unprognostic (1.20e-1)","unprognostic (1.33e-2)","prognostic unfavorable (1.67e-4)","unprognostic (4.17e-2)","unprognostic (3.64e-2)","unprognostic (8.63e-2)","unprognostic (1.12e-2)","unprognostic (3.73e-2)","prognostic unfavorable (1.22e-14)","unprognostic (2.33e-3)","unprognostic (3.21e-2)","unprognostic (7.96e-3)","unprognostic (2.37e-3)",8,5,3,16,"ENST00000520337",0,0,"Adipose; Blood.Vessel; Muscle","Idiopathic.Pulmonary.Fibrosis"
"DKK1","DKK-1, SK","ENSG00000107984","Dickkopf WNT signaling pathway inhibitor 1","O94907","10","52314281-52318042","Predicted secreted proteins","Wnt signaling pathway","Developmental protein","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 34.0;placenta: 48.9","Cell type enriched","Detected in many",4,"Endometrial stromal cells: 356.9","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Skin - Macrophages","Not detected","Not detected",NA,"","Low region specificity","Detected in single",NA,"","","","","","","Secreted in other tissues",NA,NA,NA,NA,"","Cluster 82: Adipose tissue - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 52: Endometrial stromal cells - ECM organization","","","","unprognostic (5.65e-2)","unprognostic (4.21e-2)","unprognostic (7.09e-2)","unprognostic (7.99e-2)","unprognostic (1.31e-1)","prognostic unfavorable (4.35e-8)","unprognostic (7.93e-2)","prognostic unfavorable (7.80e-6)","unprognostic (1.54e-1)","unprognostic (6.87e-2)","prognostic unfavorable (1.27e-4)","unprognostic (1.81e-1)","unprognostic (1.68e-1)","unprognostic (7.47e-3)","unprognostic (4.05e-1)","unprognostic (1.19e-1)","unprognostic (2.06e-2)",5,10,5,20,NA,0,1,"Blood.Vessel",NA
"DKK3","REIC, RIG","ENSG00000050165","Dickkopf WNT signaling pathway inhibitor 3","Q9UBP4","11","11956207-12009769","Plasma proteins, Predicted secreted proteins","Wnt signaling pathway","Developmental protein","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",6,"heart muscle: 1224.0","Group enriched","Detected in many",9,"Cardiomyocytes: 889.2;Muller glia cells: 1843.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in some",NA,"MAIT T-cell: 6.2;memory CD8 T-cell: 3.8","Lineage enriched","Detected in single",62,"T-cells: 6.2","Cancer enhanced","Detected in many",NA,"Brain cancer: 325.0","Breast - Breast myoepithelial cells, Colon - Enteric glia cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_1, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Stomach - Fibroblasts, Testis - Sertoli cells, Thyroid - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA011868, CAB024949","Approved","","Supported","Nuclear bodies,Vesicles,Cytosol","Secreted in other tissues","No","No",NA,1.8e+07,"Cluster 16: MAIT-cells - Unknown function","Cluster 44: Heart - Cardiac muscle contraction","Cluster 20: Connective tissue cells - ECM organization","Cluster 68: Muller glia cells - Visual perception","Vesicles","Nuclear bodies, Cytosol","CAB024949: , HPA011868: AB_1847716","unprognostic (4.24e-2)","unprognostic (6.40e-2)","unprognostic (1.96e-1)","unprognostic (7.84e-2)","unprognostic (3.06e-3)","unprognostic (6.58e-3)","unprognostic (1.14e-2)","unprognostic (1.58e-1)","unprognostic (3.31e-3)","unprognostic (5.28e-2)","unprognostic (4.51e-2)","unprognostic (3.87e-2)","prognostic unfavorable (6.31e-5)","unprognostic (7.41e-3)","unprognostic (1.09e-1)","unprognostic (2.97e-2)","unprognostic (1.02e-3)",11,0,12,23,"ENST00000532873; ENST00000534511",0,0,NA,NA
"DPP4","ADCP2, CD26, DPPIV","ENSG00000197635","Dipeptidyl peptidase 4","P27487","2","161992245-162074394","CD markers, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion, Host-virus interaction","Aminopeptidase, Hydrolase, Protease, Receptor, Serine protease","FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"intestine: 137.9;parathyroid gland: 155.7;placenta: 134.1;prostate: 107.3","Cell type enhanced","Detected in many",NA,"Cytotrophoblasts: 136.3;Prostatic glandular cells: 199.1;Proximal enterocytes: 281.4;Serous glandular cells: 123.3;Syncytiotrophoblasts: 169.5","Cancer enhanced","Detected in all",NA,"prostate cancer: 55.2","Not detected","Not detected",NA,"","Immune cell enhanced","Detected in many",NA,"MAIT T-cell: 52.3","Lineage enriched","Detected in many",10,"T-cells: 52.3","Low cancer specificity","Detected in many",NA,"","Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Fibroblast_2, Testis - Early spermatids","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","CAB045970, HPA068778, HPA071236","Enhanced","","","","Secreted to blood",NA,NA,NA,1.9e+08,"Cluster 16: MAIT-cells - Unknown function","Cluster 87: Intestine & Kidney - Transmembrane transport","Cluster 10: Ovarian & Endometrial cancers - Unknown function","Cluster 40: Plasma cells - Humoral immune response","","","CAB045970: AB_11140529, HPA068778: , HPA071236: ","unprognostic (4.47e-2)","unprognostic (4.47e-2)","unprognostic (8.89e-2)","unprognostic (3.36e-1)","unprognostic (7.25e-2)","unprognostic (5.40e-2)","unprognostic (2.78e-1)","unprognostic (3.54e-2)","unprognostic (3.58e-1)","unprognostic (4.73e-1)","unprognostic (2.36e-1)","prognostic unfavorable (1.98e-4)","prognostic favorable (1.35e-6)","unprognostic (4.68e-2)","unprognostic (6.33e-2)","prognostic favorable (4.99e-4)","unprognostic (1.21e-2)",9,2,2,13,"ENST00000490286",1,0,"Adipose; Blood.Vessel; Muscle",NA
"ECM1","","ENSG00000143369","Extracellular matrix protein 1","Q16610","1","150508062-150513789","Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","Angiogenesis, Biomineralization, Mineral balance, Osteogenesis","","Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"epididymis: 484.1;esophagus: 1370.5","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 107.5;Fibroblasts: 105.1;Melanocytes: 92.3;Suprabasal keratinocytes: 134.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"skin cancer: 171.3","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Keratinocyte (granular), Stomach - Fibroblasts, Thyroid - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA027241, HPA076029","Enhanced","","Approved","Nucleoplasm,Cytosol","Secreted to extracellular matrix",NA,NA,NA,8.7e+09,"Cluster 25: Monocytes - Inflammatory response","Cluster 84: Esophagus - Epithelial cell function","Cluster 40: Non-specific - Enzymes","Cluster 3: Suprabasal keratinocytes - Cornification","Cytosol","Nucleoplasm","HPA027241: AB_1847976, HPA076029: ","unprognostic (2.89e-2)","unprognostic (1.17e-1)","unprognostic (2.11e-1)","unprognostic (1.13e-2)","unprognostic (1.09e-1)","unprognostic (6.79e-3)","unprognostic (8.42e-2)","unprognostic (2.15e-2)","unprognostic (4.90e-2)","unprognostic (7.50e-2)","prognostic unfavorable (3.55e-4)","unprognostic (5.33e-2)","prognostic unfavorable (1.51e-9)","unprognostic (1.23e-2)","unprognostic (1.92e-1)","unprognostic (1.36e-1)","prognostic unfavorable (1.20e-5)",7,0,7,14,"ENST00000369049",0,0,"Blood.Vessel",NA
"EDIL3","DEL1","ENSG00000164176","EGF like repeats and discoidin domains 3","O43854","5","83940554-84384880","Predicted secreted proteins","Cell adhesion","Developmental protein","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",6,"brain: 256.8","Group enriched","Detected in many",5,"Oligodendrocyte precursor cells: 537.7;Oligodendrocytes: 2001.0","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Brain cancer: 123.7;Kidney cancer: 125.1","Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Prostate - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA020415, HPA022122","Approved","","Uncertain","Plasma membrane","Secreted to blood",NA,NA,NA,NA,"","Cluster 70: Brain - Nervous system development","Cluster 20: Connective tissue cells - ECM organization","Cluster 8: Oligodendrocytes - Myelin sheath organization","Plasma membrane","","HPA020415: AB_2670434, HPA022122: ","unprognostic (9.93e-3)","unprognostic (2.38e-1)","unprognostic (2.71e-2)","unprognostic (8.63e-2)","unprognostic (2.22e-1)","unprognostic (1.01e-1)","unprognostic (1.16e-2)","unprognostic (9.19e-2)","unprognostic (6.64e-3)","unprognostic (2.98e-1)","unprognostic (1.56e-1)","unprognostic (1.04e-1)","unprognostic (1.03e-3)","unprognostic (2.52e-2)","unprognostic (1.05e-1)","unprognostic (1.52e-2)","unprognostic (1.28e-3)",8,0,9,17,NA,1,0,"Heart; Muscle",NA
"FBLN2","","ENSG00000163520","Fibulin 2","P98095","3","13549125-13638422","Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"heart muscle: 292.8","Cell type enhanced","Detected in many",NA,"Adipocytes: 88.4;Endometrial stromal cells: 85.2;Fibroblasts: 411.5;Leydig cells: 178.2;Peritubular cells: 218.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in some",NA,"myeloid DC: 6.7;naive CD8 T-cell: 3.7","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in many",NA,"","Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2","Group enriched","Detected in many",4,"olfactory bulb: 12.4;white matter: 3.1","Low region specificity","Detected in all",NA,"","HPA001934, CAB018622","Enhanced","","Supported","Plasma membrane","Secreted to extracellular matrix",NA,NA,NA,3.5e+07,"Cluster 28: Myeloid DCs - Unknown function","Cluster 82: Adipose tissue - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 65: Fibroblasts - ECM organization","Plasma membrane","","CAB018622: AB_2294196, HPA001934: AB_1078827","unprognostic (1.19e-1)","unprognostic (7.76e-2)","unprognostic (3.21e-1)","prognostic unfavorable (9.48e-4)","unprognostic (2.82e-2)","unprognostic (1.05e-1)","prognostic favorable (3.17e-4)","unprognostic (8.02e-2)","unprognostic (1.72e-1)","unprognostic (1.70e-2)","unprognostic (2.57e-1)","unprognostic (4.66e-2)","unprognostic (2.13e-2)","unprognostic (1.89e-2)","unprognostic (2.82e-2)","unprognostic (2.61e-2)","unprognostic (1.41e-1)",5,0,5,10,NA,0,0,"Heart; Muscle","Idiopathic.Pulmonary.Fibrosis"
