GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
C5orf46,CYGB,GREM1,MAMDC2,WNT5B,TNFSF4,WNT5A,MSMB,POSTN,EDA2R,TNFRSF10D,FMN2,TMEM200A
VEGFC,PRR16,MMP10,F2RL2,DKK1,FIBIN,SGIP1,SERPINB7,MAP3K7CL,SCN3A,LAYN,LOXL2,FGF7
DNAI3,SCN7A,SGIP1,NALF1,IRAG1,CLVS1,ANGPT1,H2AC20,HHIPL1,STC1,TMEM47,MGARP,GLUD2
NCKAP5,GFRA1,EMILIN1,CNTN3,APCDD1,ACKR4,LRRC24,OTUB2,NDUFA4L2,LMOD1,GLT8D2,ALDH1A1,LUM
GFRA1,ADAMTS5,S1PR3,ANGPTL2,INHBB,SCN9A,DNAJC25,C22orf23,PTGS1,SCN2A,ALPK2,MAMLD1,TMEM35A
ATP10A,AK5,KIRREL3,ECM1,MEGF6,SPIN2A,ARSJ,PGAM2,SPOCD1,ANKRD1,ACVRL1,FGF5,MASP1
TCF21,STC1,GRIA1,TMTC1,MEDAG,PCDHGB6,CSDC2,PDZK1IP1,RECK,FGF7,STC1,RCAN1,CNTN3
SVEP1,ABCC4,ANO4,RAB6D,EGFL6,TSLP,FSCN3,PGK2,VEGFC,VEGFC,TMEM176B,TMEM119,STC2
SLFN12,MARCHF4,KCNN2,GPR37,S1PR3,CTSK,INSC,RHOV,PDE1C,THBS2,USP44,MRGPRF,ANGPT1
IGFBP3,TMEM176B,KCTD4,HOXB5,ANKRD29,CCDC73,NALF1,INKA1,C1QTNF1,RECK,ANGPT1,EFHD1,PAPPA
CD248,NLGN4Y,PAPSS2,ALPK2,MARCHF4,FOXL1,RPL17-C18orf32,AMTN,ADAMTS6,PTPRB,C1QTNF1,PDE1C,PDGFRA
ZNF354C,MYLK,COL11A1,CREB3L1,BDKRB2,PCDHGB4,MRGPRF,HES2,CAVIN4,BST1,ITGBL1,ICAM5,VASN
RECK,FGF9,NID2,ADAM23,ROBO2,ARHGAP20,TMTC1,KCTD11,FBLN2,PTPRN,SRPX,PAMR1,SCN5A
ZNF804A,IGDCC4,PGM5,MYOZ2,LMOD1,ST6GALNAC2,ADAMTS5,VSTM2L,LOXL2,FIBIN,FGL2,LMOD1,EDA2R
GPR37,SALL1,LHX9,EIF2S3B,ADAMTS14,APOLD1,PRRX2,TACSTD2,IGFBP3,FAM167A,ANO1,RGS11,SH2D5
RGS4,CDH13,CNTNAP1,MYPN,ADRA1D,H2BC12,KCP,MDFI,MICAL2,PRKG2,EIF2S3B,PTGS1,SCARF2
TMEM200A,CHRM3,EIF2S3B,C1QTNF1,STAC,FOXF2,EMILIN1,CXCL3,CDH4,SLC1A1,MDGA1,ADGRD1,RARRES2
PDGFRA,CREB3L1,STAC,TMEM176A,PTGES3L-AARSD1,CPED1,TRIM6-TRIM34,RHBDL2,GALNT5,FSCN2,ALKAL1,FMOD,GFRA1
TNFRSF10D,CTSK,MAMDC2,SHANK1,GALNT5,CNIH3,FAM166A,S100A9,SERPINB2,GFRA1,FMOD,CHAC1,ARSJ
MYLK,TENM1,STC2,ADGRA2,PDCD1LG2,MMEL1,NDUFC2-KCTD14,COL22A1,CD274,MICAL2,LPAR1,TM4SF20,TMEM176B
THBS1,ADAMTS12,EREG,IL11,FOXL2,MOXD1,ARL17A,PPAN-P2RY11,COLEC10,RDH10,CPA4,GALNT5,LOXL4
RGMB,ALPK2,PDE1C,TOX2,HSPB6,MASP1,H2AC20,CTAGE9,ADGRA2,FBLN2,IGFBP5,TENM2,MARCHF4
FGF1,ECM1,STMN2,GFRA1,ADGRA2,SLC38A4,CDK15,PLEK2,LUM,LOXL2,BMP2,FIBIN,GPR37
FMN1,LOX,CYP26B1,FGF7,SCN1A,PDCD1LG2,LRRN3,ST6GALNAC2,PTCHD4,ZPLD1,PCDHGA2,LAMA2,RASGRF2
SGCD,ALDH1L2,DPP4,DKK3,MMP1,CST2,CALHM5,BIK,NALCN,SYTL5,FMN2,BDNF,CTAG2
INHBB,ANGPTL2,LOXL2,MFGE8,ALDH1A1,PCDH18,PCDH18,IDI2,FGF1,ATP10A,PTCHD4,EMILIN1,MYLK
IGFBP5,MAMDC2,CPED1,LAYN,DRAM1,DCBLD2,LAYN,ELL3,CPED1,STAC,CYGB,ITGA11,F2R
TMTC1,TMEM176A,C1QTNF1,JCAD,GLT8D2,CFHR1,FGF5,PRRG2,F2RL2,VCAM1,ANGPTL2,IL6,SCN7A
SLC1A1,GPR37,CNTN3,FIBCD1,CPED1,AK5,PSG5,FGFBP1,KLHL11,SFT2D3,RBM24,ATP10A,PLAU
ITGBL1,COL6A3,FMN2,PCDH18,RCAN2,B3GNT4,CKLF-CMTM1,BPIFA1,PTPRB,CPXM2,TBXAS1,GRIA3,DCN
SCUBE3,KIF17,CLSTN2,KIF17,PRR16,CSNK2A3,NEK10,RAET1G,AOX1,CSF2RB,SCARF2,IRAG1,IL11
RBM24,ACVRL1,COLEC12,PLCB4,RAB6D,GDF6,NPTX1,KRT7,ADGRD1,H4C2,ADAMTS5,ADAMTS6,COL13A1
ITGA11,CNTN3,GLUD2,FMN2,GSTM5,PCDHGA6,ALPK2,RHOD,MRGPRF,CSGALNACT1,RECK,WNT2,PRSS35
NRK,MMP1,ADAMTS14,RGMB,RAB6C,SFRP1,H2AC11,MMP7,COL11A1,ITGA2,STC2,ACKR3,LAMA1
LRCH2,ADGRA2,ITIH5,NES,APOD,PRKG2,RSPH10B2,IFNE,SCN3A,POSTN,FZD7,GPR176,PDE1C
KCTD16,FGF10,NLGN4Y,STX1B,CCL2,ENO3,C1QTNF5,SPRR2A,CNTNAP1,COL11A1,ECM1,TRPC6,RGCC
TGFB2,LAYN,SH3GL2,RASGRF2,FGF5,RASGRF2,NRK,PIERCE2,FOXD1,SERPINE1,CCL2,COL12A1,THY1
AOX1,FST,BDKRB2,TMEM178B,EXTL1,TMTC1,TREH,MISP,PPP1R3C,CNN1,TMEM178B,ADAMTS12,BMP4
NT5E,NES,KISS1,CHAC1,NCKAP5,NME1-NME2,SFT2D3,KRT79,SERPINE1,ITGBL1,ADAMTS12,CNTNAP1,COL6A2
ADGRL4,PDGFRA,EDA2R,THY1,FMN2,FOXO3B,H2AC21,C4orf48,DACT1,ITGB3,INA,FOXF2,ECM1
COL13A1,HSPB6,CPA4,FLNC,PCDHGA12,SLC23A3,AK5,RHCG,DPYSL4,NDUFA4L2,THY1,MMP19,HOXB5
LOXL2,CPNE7,SHOX2,ADGRB2,RGS11,PDGFRA,H1-3,ULBP3,FAM180A,CD274,COPZ2,STC2,PDGFRB
PLCB4,NTM,THY1,LPAR1,NFATC4,FGF5,PEDS1-UBE2V1,PKP1,CTHRC1,NRXN3,DDIT4L,COL5A3,COL12A1
SEMA3A,ARSJ,PEAR1,ADAMTS5,TBX18,GLT8D2,PDE1C,KRT15,FPR3,PTGS1,SLC1A1,ADAMTS14,FZD7
IRAG1,CSNK2A3,GPR176,PTGS1,CSDC2,JCAD,GARIN5A,LYPD3,TBX5,FGF5,PZP,ECM1,QSOX1
NID2,TNFRSF19,IGFBP6,GLT8D2,TMEM178B,VCAM1,IRAG1,WFDC2,SEMA7A,ADAMTS15,INSC,FBLN1,WNT2
NRG1,GAS6,VIT,TAGLN,C1QTNF1,BDKRB2,HSPE1-MOB4,ACKR3,H4C2,NTM,MAMDC2,COLEC12,FZD2
MMP1,F2R,FOXF1,PAPPA,EMILIN1,GSTM1,NPB,FANK1,FOXO3B,RELN,PRSS12,IGFBP5,STK32B
SEMA6D,LRRC15,RAB6D,FBLN5,TRHDE,DNAI3,RSPH10B,SLPI,VCAM1,SRPX2,CNN1,COL16A1,HOXB3
SRPX2,LTBP1,SPHKAP,CLEC11A,GPER1,FANK1,CPA4,BCL2L2-PABPN1,COPZ2,CTHRC1,CREB3L1,PPFIA4,CREB3L1
GREM1,ANO1,VEGFC,SAMD14,CLEC3B,PTCHD4,ST6GALNAC2,CSTA,LAYN,PDGFRA,PTGS1,COL7A1,FBN2
RAB3B,TOX2,COL12A1,CLDN1,TMEM176B,PRR16,TBX5,RPL36A-HNRNPH2,IL1B,PTGS2,MYOZ2,PRRX2,NTM
PTGFR,FILIP1L,SLIT2,CNTNAP1,KCNB2,IRAG1,RELN,SAA4,COL3A1,SCN4B,CPNE7,COL13A1,CSNK2A3
FOXD1,CNTNAP1,CRABP2,ARSJ,NPAS1,LYPD1,NCKAP5,EPHX4,ALDH1L2,PGAM4,PSG1,CSDC2,PTGS1
