Gene,Ensembl,Gene description,Significant transcript(s),ARCHS4 (gene level),GTEx (gene level),TabulaSapiens (gene level),Total conditions (gene level),CellAge,SenMayo,AgedTissue,DiseaseTissue,Protein.class,Biological.process,Molecular.function,Disease.involvement,Evidence,RNA.tissue.specificity,RNA.tissue.distribution,RNA.tissue.specificity.score,RNA.tissue.specific.nTPM,RNA.single.cell.type.specificity,RNA.single.cell.type.distribution,RNA.single.cell.type.specificity.score,RNA.single.cell.type.specific.nTPM,RNA.cancer.specificity,RNA.cancer.distribution,RNA.cancer.specificity.score,RNA.cancer.specific.FPKM,RNA.brain.regional.specificity,RNA.brain.regional.distribution,RNA.brain.regional.specificity.score,RNA.brain.regional.specific.nTPM,RNA.blood.cell.specificity,RNA.blood.cell.distribution,RNA.blood.cell.specificity.score,RNA.blood.cell.specific.nTPM,RNA.blood.lineage.specificity,RNA.blood.lineage.distribution,RNA.blood.lineage.specificity.score,RNA.blood.lineage.specific.nTPM,RNA.cell.line.specificity,RNA.cell.line.distribution,RNA.cell.line.specificity.score,RNA.cell.line.specific.nTPM,RNA.tissue.cell.type.enrichment,RNA.mouse.brain.regional.specificity,RNA.mouse.brain.regional.distribution,RNA.mouse.brain.regional.specificity.score,RNA.mouse.brain.regional.specific.nTPM,RNA.pig.brain.regional.specificity,RNA.pig.brain.regional.distribution,RNA.pig.brain.regional.specificity.score,RNA.pig.brain.regional.specific.nTPM,Antibody,Reliability..IH.,Reliability..Mouse.Brain.,Reliability..IF.,Subcellular.location,Secretome.location,CCD.Protein,CCD.Transcript,Blood.concentration...Conc..blood.IM..pg.L.,Blood.concentration...Conc..blood.MS..pg.L.,Blood.expression.cluster,Tissue.expression.cluster,Cell.line.expression.cluster,Single.cell.expression.cluster,Subcellular.main.location,Subcellular.additional.location,Antibody.RRID
ANO4,ENSG00000151572,Anoctamin 4,ENST00000392977,9,3,7,19,0,0,NA,NA,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","Lipid transport, Transport",,,Evidence at protein level,Tissue enhanced,Detected in some,NA,adrenal gland: 12.0;brain: 11.3;cervix: 7.6;ovary: 7.7;seminal vesicle: 8.1,Group enriched,Detected in some,4,Inhibitory neurons: 524.3;Oligodendrocyte precursor cells: 265.2;Oligodendrocytes: 768.5,Cancer enhanced,Detected in some,NA,renal cancer: 2.1,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,skin cancer: 5.3;testis cancer: 7.6,,Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,HPA053412,Uncertain,,,,,NA,NA,NA,NA,,Cluster 57: Non-specific - Angiogenesis,Cluster 20: Connective tissue cells - ECM organization,Cluster 37: Neurons - Neuronal signaling,,,HPA053412: AB_2682140
PCDH18,ENSG00000189184,Protocadherin 18,ENST00000510305,10,0,9,19,0,0,NA,NA,"Predicted intracellular proteins, Predicted membrane proteins",Cell adhesion,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,placenta: 44.2,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 68.2;Fibroblasts: 53.1;Leydig cells: 39.2;Peritubular cells: 57.2;Smooth muscle cells: 30.7;Theca cells: 19.8,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 24.6;testis cancer: 38.3,"Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Thyroid - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,HPA017976,Approved,,Approved,"Golgi apparatus,Cytosol",,No,NA,NA,5900000,,Cluster 46: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 52: Endometrial stromal cells - ECM organization,Cytosol,Golgi apparatus,HPA017976: AB_1855045
BDKRB2,ENSG00000168398,Bradykinin receptor B2,NA,10,0,8,18,0,0,Muscle,NA,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters",,"G-protein coupled receptor, Receptor, Transducer",FDA approved drug targets,Evidence at protein level,Tissue enhanced,Detected in many,NA,urinary bladder: 41.1,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 16.3;Ionocytes: 16.5;Langerhans cells: 19.2;Squamous epithelial cells: 15.6,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,Kidney - Endothelial cells,Not detected,Not detected,NA,,Low region specificity,Detected in some,NA,,"HPA003551, HPA050841",Approved,,Supported,"Golgi apparatus,Vesicles,Plasma membrane",,NA,NA,NA,NA,,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 20: Connective tissue cells - ECM organization,Cluster 66: Endothelial cells - Angiogenesis,Plasma membrane,"Golgi apparatus, Vesicles","HPA003551: , HPA050841: AB_2681254"
MYLK,ENSG00000065534,Myosin light chain kinase,ENST00000360304,6,0,11,17,1,0,NA,NA,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",,"Actin-binding, Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase","Aortic aneurysm, Disease variant",Evidence at protein level,Tissue enhanced,Detected in all,NA,seminal vesicle: 1700.3;smooth muscle: 2137.7,Cell type enhanced,Detected in many,NA,Breast myoepithelial cells: 917.4;Peritubular cells: 716.6;Sertoli cells: 223.9;Smooth muscle cells: 552.7,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enhanced,Detected in some,NA,basophil: 7.4,Low lineage specificity,Detected in many,NA,,Cancer enhanced,Detected in all,NA,Brain cancer: 98.7,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Kidney - Fibroblasts, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"CAB020789, HPA031677, HPA048055",Enhanced,,Enhanced,"Plasma membrane,Actin filaments",,NA,NA,NA,1500000,Cluster 34: Basophils - Unknown function,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 20: Connective tissue cells - ECM organization,Cluster 15: Smooth muscle cells - Muscle contraction,Actin filaments,Plasma membrane,"CAB020789: , HPA031677: AB_10794617, HPA048055: AB_2732543"
CD248,ENSG00000174807,CD248 molecule,NA,9,0,7,16,0,0,NA,NA,"CD markers, Predicted membrane proteins",,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,adipose tissue: 237.3;breast: 155.5,Group enriched,Detected in many,5,Endometrial stromal cells: 159.7;Fibroblasts: 187.7;Leydig cells: 76.7;Smooth muscle cells: 67.2;Thymic epithelial cells: 53.3,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enriched,Detected in some,7,naive CD8 T-cell: 21.8,Lineage enriched,Detected in single,144,T-cells: 21.8,Group enriched,Detected in many,6,Bone cancer: 145.3;Neuroblastoma: 37.3;Sarcoma: 72.9,"Breast - Adipocytes (Breast), Colon - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,HPA051856,Enhanced,,Approved,Plasma membrane,,NA,NA,NA,4.30E+07,Cluster 32: T-cells - Unknown function,Cluster 82: Adipose tissue - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,Plasma membrane,,HPA051856: AB_2681640
CLDN1,ENSG00000163347,Claudin 1,NA,9,0,7,16,1,0,Blood.Vessel,NA,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Host-virus interaction,"Host cell receptor for virus entry, Receptor",Ichthyosis,Evidence at protein level,Tissue enhanced,Detected in many,NA,liver: 309.8;skin 1: 288.2,Cell type enhanced,Detected in many,NA,Basal keratinocytes: 275.1;Basal prostatic cells: 242.9;Basal respiratory cells: 212.0;Basal squamous epithelial cells: 211.0;Ductal cells: 201.0;Salivary duct cells: 241.9;Squamous epithelial cells: 294.6;Suprabasal keratinocytes: 483.6,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,"Adipose visceral - Mesothelial cells, Pancreas - Ductal cells, Skin - Keratinocyte (other)",Low region specificity,Detected in many,NA,,Region enriched,Detected in some,12,spinal cord: 25.4,"CAB002602, HPA048319",Enhanced,,,,,NA,NA,NA,NA,,Cluster 85: Liver - Metabolism,Cluster 60: Keratinocytes - Epithelial cell function,Cluster 22: Squamous epithelial cells - Keratinization,,,"CAB002602: , HPA048319: AB_2680355"
ITGA11,ENSG00000137809,Integrin subunit alpha 11,NA,6,0,10,16,0,0,Blood.Vessel; Brain; Colon; Heart; Lung,NA,Predicted membrane proteins,Cell adhesion,"Integrin, Receptor",,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 26.3;endometrium 1: 53.1;smooth muscle: 25.0,Cell type enhanced,Detected in some,NA,Breast myoepithelial cells: 9.3;Cardiomyocytes: 12.6;Excitatory neurons: 13.1;Fibroblasts: 27.8;Horizontal cells: 14.7;Microglial cells: 18.2;Peritubular cells: 10.1;Smooth muscle cells: 10.6,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in some,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Bile duct cancer: 33.8,"Kidney - Fibroblasts, Thyroid - Fibroblasts",Not detected,Not detected,NA,,Group enriched,Detected in some,5,basal ganglia: 7.3;spinal cord: 2.1,HPA051813,Uncertain,,,,,NA,NA,NA,260000,,Cluster 89: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,,,HPA051813: AB_2681622
LPAR1,ENSG00000198121,Lysophosphatidic acid receptor 1,ENST00000541779,7,0,8,15,0,0,NA,NA,"G-protein coupled receptors, Predicted membrane proteins",,"G-protein coupled receptor, Receptor, Transducer",,Evidence at protein level,Group enriched,Detected in many,4,brain: 358.4;choroid plexus: 122.2,Cell type enriched,Detected in many,4,Oligodendrocytes: 591.7,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Group enriched,Detected in many,5,classical monocyte: 9.1;eosinophil: 19.0,Group enriched,Detected in many,6,granulocytes: 19.0;monocytes: 9.1,Low cancer specificity,Detected in many,NA,,"Breast - Fibroblasts, Colon - Enteric glia cells, Heart muscle - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,,,,,,,NA,NA,NA,NA,Cluster 45: Eosinophils - Innate immune response,Cluster 70: Brain - Nervous system development,Cluster 59: Fibroblasts - Metabolism,Cluster 8: Oligodendrocytes - Myelin sheath organization,,,
NT5E,ENSG00000135318,5'-nucleotidase ecto,ENST00000416334,6,0,9,15,0,0,Muscle,NA,"CD markers, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",,Hydrolase,Disease variant,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 112.6;retina: 94.4,Cell type enhanced,Detected in many,NA,Glandular and luminal cells: 63.2;Oligodendrocyte precursor cells: 58.7;Paneth cells: 57.7;Rod photoreceptor cells: 79.9,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enhanced,Detected in many,NA,naive B-cell: 33.0;naive CD8 T-cell: 30.7,Group enriched,Detected in many,41,B-cells: 33.0;T-cells: 30.7,Low cancer specificity,Detected in all,NA,,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,HPA017357,Approved,,Supported,"Nucleoplasm,Plasma membrane,Cytosol",Intracellular and membrane,NA,NA,NA,3.00E+06,Cluster 21: B-cells - Adaptive immune response,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 65: Fibroblasts - ECM organization,Plasma membrane,"Nucleoplasm, Cytosol",HPA017357: AB_1846330
SGCD,ENSG00000170624,Sarcoglycan delta,NA,9,0,6,15,0,0,NA,NA,"Disease related genes, Human disease related genes, Predicted membrane proteins",,,"Cardiomyopathy, Disease variant, Limb-girdle muscular dystrophy",Evidence at protein level,Tissue enhanced,Detected in many,NA,heart muscle: 39.1;skeletal muscle: 42.9;tongue: 33.3,Cell type enhanced,Detected in many,NA,Astrocytes: 354.3;Cardiomyocytes: 142.1;Excitatory neurons: 190.3;Inhibitory neurons: 157.2;Microglial cells: 121.3;Oligodendrocyte precursor cells: 399.5;Oligodendrocytes: 185.4,Cancer enriched,Detected in many,5,melanoma: 10.1,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,skin cancer: 10.9,"Liver - Hepatic stellate cells, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skin - Fibroblast_1",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,,,,,,,NA,NA,NA,NA,Cluster 32: T-cells - Unknown function,Cluster 38: Heart - Muscle contraction,Cluster 20: Connective tissue cells - ECM organization,Cluster 10: Neurons & Oligodendrocytes - Nervous system development,,,
TEK,ENSG00000120156,TEK receptor tyrosine kinase,ENST00000406359,9,0,6,15,0,0,NA,NA,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins",Angiogenesis,"Kinase, Receptor, Transferase, Tyrosine-protein kinase","Cancer-related genes, Disease variant, FDA approved drug targets, Glaucoma",Evidence at protein level,Tissue enhanced,Detected in many,NA,placenta: 46.3,Group enriched,Detected in some,6,Adipocytes: 67.9;Endothelial cells: 76.7;Microglial cells: 37.4;Oligodendrocyte precursor cells: 131.9,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Group enriched,Detected in many,6,Rhabdoid: 16.9;testis cancer: 18.3,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Sinusoid Endothelial cells, Lung - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Endothelial cells, Testis - Endothelial cells, Thyroid - Endothelial cells",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"CAB010359, HPA073265",Approved,,Supported,"Plasma membrane,Centriolar satellite",Secreted to blood,NA,NA,7750000,1.30E+07,Cluster 9: Neutrophils - Innate immune response,Cluster 82: Adipose tissue - ECM organization,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 66: Endothelial cells - Angiogenesis,Plasma membrane,Centriolar satellite,"CAB010359: AB_2203226, HPA073265: AB_2686592"
CNTNAP1,ENSG00000108797,Contactin associated protein 1,NA,5,0,9,14,0,0,NA,NA,"Disease related genes, Human disease related genes, Predicted membrane proteins",Cell adhesion,,"Disease variant, Neuropathy",Evidence at protein level,Tissue enhanced,Detected in many,NA,brain: 46.7,Cell type enhanced,Detected in many,NA,Bipolar cells: 23.2;Endometrial stromal cells: 17.8;Excitatory neurons: 44.9;Horizontal cells: 27.6;Inhibitory neurons: 36.8,Cancer enhanced,Detected in all,NA,glioma: 10.9,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in all,NA,,"Adipose visceral - Adipose progenitor cells, Testis - Endothelial cells",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,HPA011772,Approved,,Approved,Nucleoplasm,,NA,NA,NA,NA,,Cluster 10: Brain - Neuronal signaling,Cluster 34: Rabdoid cancer - Embryonic development,Cluster 72: Smooth muscle cells - ECM organization,Nucleoplasm,,HPA011772: AB_1079541
CSPG4,ENSG00000173546,Chondroitin sulfate proteoglycan 4,NA,6,0,8,14,0,0,NA,NA,Predicted membrane proteins,"Angiogenesis, Differentiation, Tissue remodeling","Developmental protein, Transducer",,Evidence at protein level,Tissue enhanced,Detected in many,NA,intestine: 55.4,Group enriched,Detected in some,5,Melanocytes: 17.4;Oligodendrocyte precursor cells: 54.9;Schwann cells: 16.3;Sertoli cells: 55.3;Skeletal myocytes: 14.8;Smooth muscle cells: 49.3,Cancer enhanced,Detected in all,NA,melanoma: 74.9,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,skin cancer: 73.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Testis - Endothelial cells, Thyroid - Smooth muscle cells",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,"HPA001933, HPA002951, CAB016189, HPA042785, HPA050008",Approved,,Approved,Plasma membrane,,NA,NA,NA,4.80E+07,,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 33: Skin cancer - Membrane components,Cluster 72: Smooth muscle cells - ECM organization,Plasma membrane,,"CAB016189: AB_784821, HPA001933: , HPA002951: AB_1854449, HPA042785: AB_10964270, HPA050008: AB_2680991"
CDH11,ENSG00000140937,Cadherin 11,NA,5,0,8,13,0,0,Blood.Vessel; Muscle,NA,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Cell adhesion,,"Cancer-related genes, Deafness, Disease variant, Intellectual disability",Evidence at protein level,Tissue enhanced,Detected in many,NA,ovary: 178.2;placenta: 122.2,Cell type enhanced,Detected in many,NA,Astrocytes: 90.1;Endometrial stromal cells: 115.4;Excitatory neurons: 120.0;Microglial cells: 141.4;Oligodendrocyte precursor cells: 151.6;Oligodendrocytes: 100.4;Theca cells: 176.0,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Bone cancer: 104.9,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Kidney - Fibroblasts, Lung - Fibroblast_1, Testis - Peritubular cells, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,CAB013072,Enhanced,,,,,NA,Yes,NA,4800000,,Cluster 89: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,,,CAB013072: AB_2533068
FAT1,ENSG00000083857,FAT atypical cadherin 1,ENST00000509647; ENST00000614102,0,0,12,12,1,0,NA,NA,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins",Cell adhesion,,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,choroid plexus: 119.2,Cell type enhanced,Detected in many,NA,Basal respiratory cells: 113.3;Salivary duct cells: 99.1,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in all,NA,,Breast - Breast myoepithelial cells,Low region specificity,Detected in all,NA,,,,NA,,"HPA001869, HPA023882",Enhanced,,,,Intracellular and membrane,NA,NA,NA,4600000,,Cluster 88: Choroid plexus - Transmembrane transport,Cluster 20: Connective tissue cells - ECM organization,Cluster 5: Bronchus - Unknown function,,,"HPA001869: AB_1078818, HPA023882: AB_1848429"
GJD3,ENSG00000183153,Gap junction protein delta 3,NA,0,12,0,12,0,0,NA,NA,Predicted membrane proteins,,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,lymphoid tissue: 8.1,Cell type enhanced,Detected in some,NA,Adipocytes: 4.1;Basal prostatic cells: 2.1;Endometrial stromal cells: 2.3;Endothelial cells: 3.8;Glandular and luminal cells: 1.5;Theca cells: 1.6,Cancer enhanced,Detected in single,NA,stomach cancer: 1.1,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,,Not detected,Not detected,NA,,,,NA,,,,,,,,NA,NA,NA,NA,,Cluster 64: Macrophages - Immune response,Cluster 36: Non-specific - Unknown function,Cluster 66: Endothelial cells - Angiogenesis,,,
HLA-G,ENSG00000204632,"Major histocompatibility complex, class I, G",NA,8,4,0,12,0,0,NA,NA,"Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins",Immunity,,Cancer-related genes,Evidence at protein level,Group enriched,Detected in some,5,pituitary gland: 13.8;placenta: 11.1,Cell type enriched,Detected in many,21,Extravillous trophoblasts: 2193.5,Low cancer specificity,Detected in all,NA,,Not detected,Not detected,NA,,Low immune cell specificity,Detected in many,NA,,Low lineage specificity,Detected in many,NA,,Cancer enhanced,Detected in single,NA,lung cancer: 1.5,Testis - Late spermatids,,,NA,,,,NA,,CAB016158,Enhanced,,,,Secreted to blood,NA,NA,32800000,6.70E+07,Cluster 5: Granulocytes - Unknown function,Cluster 28: Placenta - Pregnancy,Cluster 46: Non-specific - Unknown function,Cluster 54: Extravillous trophoblasts - Unknown function,,,CAB016158: AB_627938
ACKR4,ENSG00000129048,Atypical chemokine receptor 4,ENST00000249887,5,3,3,11,0,0,NA,NA,"G-protein coupled receptors, Predicted membrane proteins",,"G-protein coupled receptor, Receptor, Transducer",,Evidence at protein level,Tissue enhanced,Detected in many,NA,intestine: 15.8,Cell type enhanced,Detected in many,NA,Alveolar cells type 1: 17.2;Exocrine glandular cells: 10.5;Fibroblasts: 18.0;Proximal enterocytes: 20.3;Respiratory ciliated cells: 24.8,Cancer enhanced,Detected in many,NA,stomach cancer: 2.5,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,lymphoma: 4.7,Thyroid - Fibroblasts,Group enriched,Detected in some,7,cerebellum: 4.7;pons and medulla: 1.5,Low region specificity,Detected in all,NA,,HPA054926,,,Approved,"Vesicles,Mitochondria",,NA,NA,NA,NA,Cluster 41: Basophils - Cellular respiration,Cluster 31: Skin - Epidermis development,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,"Vesicles, Mitochondria",,HPA054926: 
CDH2,ENSG00000170558,Cadherin 2,NA,3,0,8,11,0,0,Blood.Vessel; Nerve,Idiopathic.Pulmonary.Fibrosis,"CD markers, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Cell adhesion,,"Cardiomyopathy, Disease variant, Intellectual disability",Evidence at protein level,Tissue enhanced,Detected in many,NA,heart muscle: 196.0,Cell type enhanced,Detected in many,NA,Astrocytes: 211.0;Cardiomyocytes: 387.3;Excitatory neurons: 306.3;Granulosa cells: 302.3;Inhibitory neurons: 193.1;Oligodendrocyte precursor cells: 256.6,Cancer enhanced,Detected in all,NA,glioma: 39.3,Low region specificity,Detected in all,NA,,Group enriched,Detected in some,5,basophil: 1.7;neutrophil: 1.3,Lineage enriched,Detected in single,6,granulocytes: 1.7,Low cancer specificity,Detected in all,NA,,Colon - Enteric glia cells,Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"CAB000141, CAB018580, HPA058574, CAB078686, CAB080169",Enhanced,,Supported,"Plasma membrane,Cell Junctions",,NA,NA,NA,1.60E+08,Cluster 10: Basophils - Unknown function,Cluster 44: Heart - Cardiac muscle contraction,Cluster 68: Kidney - Mixed function,Cluster 17: Granulosa cells - Transcription regulation,Plasma membrane,Cell Junctions,"CAB000141: , CAB018580: AB_626778, CAB078686: AB_2665849, CAB080169: , HPA058574: AB_2683760"
CHRNA1,ENSG00000138435,Cholinergic receptor nicotinic alpha 1 subunit,NA,4,7,0,11,0,0,NA,NA,"Disease related genes, Human disease related genes, Predicted membrane proteins, Transporters","Ion transport, Transport","Ion channel, Ligand-gated ion channel, Receptor","Congenital myasthenic syndrome, Disease variant",Evidence at protein level,Tissue enriched,Detected in some,8,skeletal muscle: 170.1,Cell type enriched,Detected in some,13,Skeletal myocytes: 152.4,Cancer enhanced,Detected in many,NA,glioma: 5.8,Group enriched,Detected in some,13,cerebral cortex: 12.8;hippocampal formation: 5.5,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enriched,Detected in some,39,Sarcoma: 113.1,"Testis - Early spermatids, Testis - Late spermatids",Not detected,Not detected,NA,,Low region specificity,Detected in many,NA,,HPA071554,Enhanced,,Supported,Plasma membrane,,NA,NA,NA,NA,Cluster 47: Plasmacytoid DCs - Protein folding,Cluster 33: Striated muscle - Muscle contraction,Cluster 42: Sarcoma - Muscle contraction,Cluster 11: Non-specific - Transcription,Plasma membrane,,HPA071554: AB_2686416
FZD2,ENSG00000180340,Frizzled class receptor 2,NA,5,6,0,11,0,0,NA,NA,"Cancer-related genes, Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins",Wnt signaling pathway,"Developmental protein, G-protein coupled receptor, Receptor, Transducer","Cancer-related genes, Disease variant",Evidence at protein level,Tissue enhanced,Detected in many,NA,choroid plexus: 10.5,Cell type enhanced,Detected in many,NA,Alveolar cells type 1: 20.2;Leydig cells: 41.6;Peritubular cells: 36.1,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,Immune cell enhanced,Detected in some,NA,classical monocyte: 1.1;myeloid DC: 1.8,Group enriched,Detected in many,7,dendritic cells: 1.8;monocytes: 1.1,Low cancer specificity,Detected in all,NA,,Thyroid - Fibroblasts,Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,HPA057667,Uncertain,,Approved,"Nucleoplasm,Nuclear bodies,Cell Junctions",,NA,NA,NA,NA,Cluster 28: Myeloid DCs - Unknown function,Cluster 42: Ciliated cells - Cilium & Cell projection,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,"Nucleoplasm, Nuclear bodies",Cell Junctions,HPA057667: AB_2683497
IL12A,ENSG00000168811,Interleukin 12A,NA,5,5,1,11,0,0,NA,NA,"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Host-virus interaction,"Cytokine, Growth factor",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in some,NA,esophagus: 4.1,Cell type enhanced,Detected in some,NA,Endometrial ciliated cells: 3.6;Oligodendrocyte precursor cells: 3.9;Plasma cells: 3.3;Respiratory ciliated cells: 2.9;Schwann cells: 4.0,Low cancer specificity,Detected in some,NA,,Low region specificity,Detected in many,NA,,Immune cell enhanced,Detected in single,NA,naive B-cell: 2.2,Low lineage specificity,Detected in single,NA,,Low cancer specificity,Detected in many,NA,,,Region enhanced,Detected in single,NA,cerebral cortex: 2.8,Not detected,Not detected,NA,,HPA001886,Uncertain,,,,Secreted to blood,NA,NA,NA,NA,Cluster 19: B-cells - Humoral immune response,Cluster 27: Brain & Skin - Unknown function,Cluster 20: Connective tissue cells - ECM organization,Cluster 32: Neurons - Synaptic function,,,HPA001886: AB_1079132
