Gene,Ensembl,Gene description,Significant transcript(s),ARCHS4 (gene level),GTEx (gene level),TabulaSapiens (gene level),Total conditions (gene level),CellAge,SenMayo,AgedTissue,DiseaseTissue,Protein.class,Biological.process,Molecular.function,Disease.involvement,Evidence,RNA.tissue.specificity,RNA.tissue.distribution,RNA.tissue.specificity.score,RNA.tissue.specific.nTPM,RNA.single.cell.type.specificity,RNA.single.cell.type.distribution,RNA.single.cell.type.specificity.score,RNA.single.cell.type.specific.nTPM,RNA.cancer.specificity,RNA.cancer.distribution,RNA.cancer.specificity.score,RNA.cancer.specific.FPKM,RNA.brain.regional.specificity,RNA.brain.regional.distribution,RNA.brain.regional.specificity.score,RNA.brain.regional.specific.nTPM,RNA.blood.cell.specificity,RNA.blood.cell.distribution,RNA.blood.cell.specificity.score,RNA.blood.cell.specific.nTPM,RNA.blood.lineage.specificity,RNA.blood.lineage.distribution,RNA.blood.lineage.specificity.score,RNA.blood.lineage.specific.nTPM,RNA.cell.line.specificity,RNA.cell.line.distribution,RNA.cell.line.specificity.score,RNA.cell.line.specific.nTPM,RNA.tissue.cell.type.enrichment,RNA.mouse.brain.regional.specificity,RNA.mouse.brain.regional.distribution,RNA.mouse.brain.regional.specificity.score,RNA.mouse.brain.regional.specific.nTPM,RNA.pig.brain.regional.specificity,RNA.pig.brain.regional.distribution,RNA.pig.brain.regional.specificity.score,RNA.pig.brain.regional.specific.nTPM,Antibody,Reliability..IH.,Reliability..Mouse.Brain.,Reliability..IF.,Subcellular.location,Secretome.location,CCD.Protein,CCD.Transcript,Blood.concentration...Conc..blood.IM..pg.L.,Blood.concentration...Conc..blood.MS..pg.L.,Blood.expression.cluster,Tissue.expression.cluster,Cell.line.expression.cluster,Single.cell.expression.cluster,Subcellular.main.location,Subcellular.additional.location,Antibody.RRID
LOX,ENSG00000113083,Lysyl oxidase,ENST00000231004; ENST00000503759; ENST00000505593; ENST00000508067; ENST00000513319,9,6,12,27,1,0,Lung; Muscle,NA,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",,Oxidoreductase,"Aortic aneurysm, Disease variant",Evidence at protein level,Tissue enhanced,Detected in many,NA,adipose tissue: 27.9,Cell type enhanced,Detected in many,NA,Basal respiratory cells: 64.4;Early spermatids: 45.5;Extravillous trophoblasts: 49.0;Fibroblasts: 84.1;Pancreatic endocrine cells: 125.4;Thymic epithelial cells: 58.0,Cancer enhanced,Detected in all,NA,renal cancer: 39.8,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 82.3,"Heart muscle - Fibroblasts, Skin - Fibroblast_2",Low region specificity,Detected in some,NA,,Low region specificity,Detected in many,NA,,HPA043930,,,Approved,Endoplasmic reticulum,Secreted to extracellular matrix,NA,NA,NA,550000,,Cluster 82: Adipose tissue - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Endoplasmic reticulum,,HPA043930: AB_2678736
LRRC17,ENSG00000128606,Leucine rich repeat containing 17,ENST00000249377; ENST00000339431,9,9,9,27,0,0,Blood.Vessel,NA,Predicted secreted proteins,Osteogenesis,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,ovary: 76.2,Cell type enhanced,Detected in many,NA,Fibroblasts: 28.2;Granulosa cells: 67.2;Leydig cells: 110.8;Peritubular cells: 34.5;Sertoli cells: 27.6,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,Immune cell enriched,Detected in single,94,eosinophil: 9.9,Lineage enriched,Detected in single,94,granulocytes: 9.9,Cancer enhanced,Detected in many,NA,Brain cancer: 57.1;Sarcoma: 73.1,"Liver - Hepatic stellate cells, Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Thyroid - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,HPA073458,,,Approved,"Vesicles,Cytokinetic bridge",Secreted in other tissues,Yes,NA,NA,NA,Cluster 45: Eosinophils - Innate immune response,Cluster 89: Fibroblasts - ECM organization,Cluster 42: Sarcoma - Muscle contraction,Cluster 17: Granulosa cells - Transcription regulation,Vesicles,Cytokinetic bridge,HPA073458: 
PAPPA,ENSG00000182752,Pappalysin 1,NA,9,8,10,27,0,1,Nerve,Idiopathic.Pulmonary.Fibrosis,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins",,"Hydrolase, Metalloprotease, Protease",Cancer-related genes,Evidence at protein level,Tissue enriched,Detected in many,8,placenta: 72.3,Cell type enhanced,Detected in many,NA,Basal squamous epithelial cells: 62.5;Collecting duct cells: 135.9;Endometrial stromal cells: 111.4;Horizontal cells: 59.0;Proximal tubular cells: 54.3;Thymic epithelial cells: 95.0,Low cancer specificity,Detected in some,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Rhabdoid: 32.6,Colon - Enteric glia cells,Low region specificity,Detected in single,NA,,Low region specificity,Detected in many,NA,,"HPA001667, CAB016724",Enhanced,,,,Secreted in female reproductive system,NA,NA,NA,7.80E+07,,Cluster 28: Placenta - Pregnancy,Cluster 22: Rhabdoid cancers - Neuronal signaling,Cluster 52: Endometrial stromal cells - ECM organization,,,"CAB016724: , HPA001667: AB_1854960"
COLEC10,ENSG00000184374,Collectin subfamily member 10,ENST00000332843,9,9,8,26,0,0,NA,NA,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",,,Disease variant,Evidence at protein level,Tissue enriched,Detected in some,6,liver: 65.7,Cell type enhanced,Detected in some,NA,Cardiomyocytes: 3.8;Excitatory neurons: 6.8;Inhibitory neurons: 5.3;Kupffer cells: 3.0;Oligodendrocyte precursor cells: 2.4;Oligodendrocytes: 4.5,Cancer enhanced,Detected in some,NA,liver cancer: 1.1,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,Kidney cancer: 9.9;Neuroblastoma: 10.2,Liver - Hepatic stellate cells,Not detected,Not detected,NA,,Low region specificity,Detected in many,NA,,,,,,,Secreted to blood,NA,NA,NA,3.00E+07,,Cluster 85: Liver - Metabolism,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,,,
COL11A1,ENSG00000060718,Collagen type XI alpha 1 chain,ENST00000512756,9,7,9,25,0,0,Adipose; Blood.Vessel,NA,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,"Cancer-related genes, Cataract, Deafness, Disease variant, Dwarfism, Ectodermal dysplasia, Non-syndromic deafness, Stickler syndrome",Evidence at protein level,Tissue enhanced,Detected in some,NA,placenta: 20.1;retina: 9.6,Cell type enriched,Detected in some,5,Oligodendrocyte precursor cells: 533.8,Cancer enhanced,Detected in many,NA,breast cancer: 27.4,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Rhabdoid: 246.1,"Skeletal muscle - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,HPA058335,,,Supported,Endoplasmic reticulum,Secreted to extracellular matrix,No,No,NA,640000,,Cluster 28: Placenta - Pregnancy,Cluster 33: Skin cancer - Membrane components,Cluster 10: Neurons & Oligodendrocytes - Nervous system development,Endoplasmic reticulum,,HPA058335: AB_2683682
FBN2,ENSG00000138829,Fibrillin 2,NA,4,10,11,25,0,0,Thyroid,NA,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,"Cancer-related genes, Disease variant",Evidence at protein level,Tissue enriched,Detected in some,11,placenta: 81.9,Group enriched,Detected in many,4,Cytotrophoblasts: 295.8;Syncytiotrophoblasts: 156.5,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in some,NA,,Immune cell enhanced,Detected in single,NA,non-classical monocyte: 2.2,Lineage enriched,Detected in single,5,monocytes: 2.2,Cancer enhanced,Detected in many,NA,Sarcoma: 51.2;testis cancer: 48.0,Testis - Early spermatids,Region enhanced,Detected in single,NA,olfactory bulb: 2.0,Low region specificity,Detected in many,NA,,"HPA012853, CAB026401",Enhanced,,,,Secreted to extracellular matrix,NA,NA,NA,1.10E+07,Cluster 14: Monocytes - Unknown function,Cluster 28: Placenta - Pregnancy,Cluster 34: Rabdoid cancer - Embryonic development,Cluster 28: Cytotrophoblasts - Unknown function,,,"CAB026401: , HPA012853: AB_1848588"
GREM1,ENSG00000166923,"Gremlin 1, DAN family BMP antagonist",ENST00000300177,10,3,12,25,0,0,Blood.Vessel,Idiopathic.Pulmonary.Fibrosis,"Disease related genes, Predicted secreted proteins",,Cytokine,,Evidence at protein level,Tissue enhanced,Detected in many,NA,gallbladder: 113.0;smooth muscle: 68.2,Cell type enhanced,Detected in many,NA,Cardiomyocytes: 366.9;Collecting duct cells: 65.0;Granulosa cells: 119.2,Cancer enhanced,Detected in many,NA,stomach cancer: 24.6,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Sarcoma: 31.2;thyroid cancer: 32.1,Testis - Spermatogonia,Group enriched,Detected in many,5,hippocampal formation: 3.2;olfactory bulb: 10.9,Low region specificity,Detected in many,NA,,HPA007526,Uncertain,,,,Secreted to blood,NA,NA,2.42E+08,NA,,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 20: Connective tissue cells - ECM organization,Cluster 77: Cardiomyocytes - Muscle contraction,,,HPA007526: AB_1849971
LOXL2,ENSG00000134013,Lysyl oxidase like 2,ENST00000389131; ENST00000520349,7,5,13,25,1,0,NA,NA,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins","Transcription, Transcription regulation","Chromatin regulator, Oxidoreductase, Repressor",,Evidence at protein level,Tissue enhanced,Detected in many,NA,smooth muscle: 41.3,Cell type enhanced,Detected in many,NA,Basal respiratory cells: 23.1;Endometrial stromal cells: 26.0;Endothelial cells: 28.1;Extravillous trophoblasts: 25.3;Fibroblasts: 38.8;Pancreatic endocrine cells: 37.8;Smooth muscle cells: 20.1,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,Kidney cancer: 598.7,"Breast - Adipocytes (Breast), Skeletal muscle - Fibroblasts, Thyroid - Endothelial cells",Low region specificity,Detected in single,NA,,Low region specificity,Detected in single,NA,,"CAB025848, HPA036257, HPA056542",Approved,,Enhanced,Nucleoplasm,Secreted to extracellular matrix,NA,NA,NA,NA,Cluster 49: Eosinophils - Unknown function,Cluster 46: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Nucleoplasm,,"CAB025848: , HPA036257: AB_2675025, HPA056542: AB_2683168"
COL1A2,ENSG00000164692,Collagen type I alpha 2 chain,ENST00000620463,11,0,12,23,0,0,NA,Idiopathic.Pulmonary.Fibrosis,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",,,"Cancer-related genes, Disease variant, Dwarfism, Ehlers-Danlos syndrome, Osteogenesis imperfecta",Evidence at protein level,Tissue enhanced,Detected in all,NA,cervix: 1831.7;gallbladder: 1378.0;smooth muscle: 1416.9,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 711.3;Fibroblasts: 1913.7;Glandular and luminal cells: 452.3;Leydig cells: 999.0;Pancreatic endocrine cells: 498.1;Peritubular cells: 495.5;Smooth muscle cells: 640.7;Theca cells: 555.0,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,Brain cancer: 1492.3,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts",Low region specificity,Detected in all,NA,,Region enhanced,Detected in all,NA,spinal cord: 133.7,"CAB032650, HPA068464, HPA068494",Approved,,Supported,Endoplasmic reticulum,Secreted to extracellular matrix,NA,NA,NA,2.70E+07,,Cluster 46: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Endoplasmic reticulum,,"CAB032650: AB_2082039, HPA068464: , HPA068494: "
DKK3,ENSG00000050165,Dickkopf WNT signaling pathway inhibitor 3,ENST00000532873; ENST00000534511,11,0,12,23,0,0,NA,NA,"Plasma proteins, Predicted secreted proteins",Wnt signaling pathway,Developmental protein,,Evidence at protein level,Tissue enriched,Detected in many,6,heart muscle: 1224.0,Group enriched,Detected in many,9,Cardiomyocytes: 889.2;Muller glia cells: 1843.7,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enhanced,Detected in some,NA,MAIT T-cell: 6.2;memory CD8 T-cell: 3.8,Lineage enriched,Detected in single,62,T-cells: 6.2,Cancer enhanced,Detected in many,NA,Brain cancer: 325.0,"Breast - Breast myoepithelial cells, Colon - Enteric glia cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_1, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Stomach - Fibroblasts, Testis - Sertoli cells, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA011868, CAB024949",Approved,,Supported,"Nuclear bodies,Vesicles,Cytosol",Secreted in other tissues,No,No,NA,1.80E+07,Cluster 16: MAIT-cells - Unknown function,Cluster 44: Heart - Cardiac muscle contraction,Cluster 20: Connective tissue cells - ECM organization,Cluster 68: Muller glia cells - Visual perception,Vesicles,"Nuclear bodies, Cytosol","CAB024949: , HPA011868: AB_1847716"
